,palsa_percentage
758_73_5075_2013_crop_72_aug,17.75
758_73_5075_2013_crop_73_aug,5.5
758_73_5075_2013_crop_74_aug,4.0
758_73_5075_2013_crop_75_aug,19.75
758_73_5075_2013_crop_76_aug,2.0
758_73_5075_2013_crop_84_aug,5.5
758_73_5075_2013_crop_85_aug,0.0
758_73_5075_2013_crop_119_aug,0.0
758_73_5075_2013_crop_131_aug,0.25
757_72_5050_2013_crop_48,0.0
757_72_5050_2013_crop_134,0.25
757_72_5050_2013_negcrop_0,0.0
757_72_5050_2013_negcrop_1,0.0
757_72_5050_2013_crop_48_aug,0.0
757_72_5050_2013_crop_134_aug,0.25
759_72_2500_2013_crop_105,0.0
759_72_2500_2013_negcrop_0,0.0
759_72_2500_2013_crop_105_aug,0.0
760_74_7525_2018_crop_4,29.5
760_74_7525_2018_crop_5,15.0
760_74_7525_2018_crop_8,26.25
760_74_7525_2018_crop_9,8.25
760_74_7525_2018_crop_10,9.25
760_74_7525_2018_crop_11,1.0
760_74_7525_2018_crop_15,6.5
760_74_7525_2018_crop_16,24.25
760_74_7525_2018_crop_17,21.5
760_74_7525_2018_crop_18,10.0
760_74_7525_2018_crop_19,4.75
760_74_7525_2018_crop_20,26.5
760_74_7525_2018_crop_21,1.25
760_74_7525_2018_crop_26,1.75
760_74_7525_2018_crop_27,8.75
760_74_7525_2018_crop_28,9.25
760_74_7525_2018_crop_29,10.5
760_74_7525_2018_crop_30,26.5
760_74_7525_2018_crop_31,11.0
760_74_7525_2018_crop_32,0.25
760_74_7525_2018_crop_38,1.75
760_74_7525_2018_crop_39,27.0
760_74_7525_2018_crop_40,0.75
760_74_7525_2018_crop_41,12.5
760_74_7525_2018_crop_42,34.5
760_74_7525_2018_crop_43,14.25
760_74_7525_2018_crop_53,11.0
760_74_7525_2018_crop_54,16.25
760_74_7525_2018_crop_61,3.5
760_74_7525_2018_crop_62,0.25
760_74_7525_2018_crop_64,3.25
760_74_7525_2018_crop_65,13.25
760_74_7525_2018_crop_71,3.5
760_74_7525_2018_crop_72,0.0
760_74_7525_2018_crop_73,0.0
760_74_7525_2018_crop_76,7.75
760_74_7525_2018_crop_77,28.75
760_74_7525_2018_crop_84,2.0
760_74_7525_2018_crop_88,6.5
760_74_7525_2018_crop_96,3.25
760_74_7525_2018_crop_99,0.5
760_74_7525_2018_crop_100,9.5
760_74_7525_2018_crop_108,0.25
760_74_7525_2018_crop_111,3.75
760_74_7525_2018_crop_112,29.75
760_74_7525_2018_crop_122,1.75
760_74_7525_2018_crop_123,32.0
760_74_7525_2018_crop_124,7.25
760_74_7525_2018_crop_132,2.25
760_74_7525_2018_crop_133,1.0
760_74_7525_2018_crop_134,4.0
760_74_7525_2018_crop_135,15.75
760_74_7525_2018_negcrop_0,0.0
760_74_7525_2018_negcrop_1,0.0
760_74_7525_2018_negcrop_2,0.0
760_74_7525_2018_negcrop_3,0.0
760_74_7525_2018_negcrop_4,0.0
760_74_7525_2018_negcrop_5,0.0
760_74_7525_2018_negcrop_6,0.0
760_74_7525_2018_negcrop_7,0.0
760_74_7525_2018_negcrop_8,0.0
760_74_7525_2018_negcrop_9,0.0
760_74_7525_2018_negcrop_10,0.0
760_74_7525_2018_negcrop_11,0.0
760_74_7525_2018_negcrop_12,0.0
760_74_7525_2018_negcrop_13,0.0
760_74_7525_2018_negcrop_14,0.0
760_74_7525_2018_negcrop_15,0.0
760_74_7525_2018_negcrop_16,0.0
760_74_7525_2018_negcrop_17,0.0
760_74_7525_2018_negcrop_18,0.0
760_74_7525_2018_negcrop_19,0.0
760_74_7525_2018_negcrop_20,0.0
760_74_7525_2018_negcrop_21,0.0
760_74_7525_2018_negcrop_22,0.0
760_74_7525_2018_negcrop_23,0.0
760_74_7525_2018_negcrop_24,0.0
760_74_7525_2018_negcrop_25,0.0
760_74_7525_2018_negcrop_26,0.0
760_74_7525_2018_negcrop_27,0.0
760_74_7525_2018_negcrop_28,0.0
760_74_7525_2018_negcrop_29,0.0
760_74_7525_2018_negcrop_30,0.0
760_74_7525_2018_negcrop_31,0.0
760_74_7525_2018_negcrop_32,0.0
760_74_7525_2018_negcrop_33,0.0
760_74_7525_2018_negcrop_34,0.0
760_74_7525_2018_negcrop_35,0.0
760_74_7525_2018_negcrop_36,0.0
760_74_7525_2018_negcrop_37,0.0
760_74_7525_2018_negcrop_38,0.0
760_74_7525_2018_negcrop_39,0.0
760_74_7525_2018_negcrop_40,0.0
760_74_7525_2018_negcrop_41,0.0
760_74_7525_2018_negcrop_42,0.0
760_74_7525_2018_negcrop_43,0.0
760_74_7525_2018_negcrop_44,0.0
760_74_7525_2018_negcrop_45,0.0
760_74_7525_2018_negcrop_46,0.0
760_74_7525_2018_negcrop_47,0.0
760_74_7525_2018_negcrop_48,0.0
760_74_7525_2018_negcrop_49,0.0
760_74_7525_2018_negcrop_50,0.0
760_74_7525_2018_negcrop_51,0.0
760_74_7525_2018_crop_4_aug,29.5
760_74_7525_2018_crop_5_aug,15.0
760_74_7525_2018_crop_8_aug,26.25
760_74_7525_2018_crop_9_aug,8.25
760_74_7525_2018_crop_10_aug,9.25
760_74_7525_2018_crop_11_aug,1.0
760_74_7525_2018_crop_15_aug,6.5
760_74_7525_2018_crop_16_aug,24.25
760_74_7525_2018_crop_17_aug,21.5
760_74_7525_2018_crop_18_aug,10.0
760_74_7525_2018_crop_19_aug,4.75
760_74_7525_2018_crop_20_aug,26.5
760_74_7525_2018_crop_21_aug,1.25
760_74_7525_2018_crop_26_aug,1.75
760_74_7525_2018_crop_27_aug,8.75
760_74_7525_2018_crop_28_aug,9.25
760_74_7525_2018_crop_29_aug,10.5
760_74_7525_2018_crop_30_aug,26.5
760_74_7525_2018_crop_31_aug,11.0
760_74_7525_2018_crop_32_aug,0.25
760_74_7525_2018_crop_38_aug,1.75
760_74_7525_2018_crop_39_aug,27.0
760_74_7525_2018_crop_40_aug,0.75
760_74_7525_2018_crop_41_aug,12.5
760_74_7525_2018_crop_42_aug,34.5
760_74_7525_2018_crop_43_aug,14.25
760_74_7525_2018_crop_53_aug,11.0
760_74_7525_2018_crop_54_aug,16.25
760_74_7525_2018_crop_61_aug,3.5
760_74_7525_2018_crop_62_aug,0.25
760_74_7525_2018_crop_64_aug,3.25
760_74_7525_2018_crop_65_aug,13.25
760_74_7525_2018_crop_71_aug,3.5
760_74_7525_2018_crop_72_aug,0.0
760_74_7525_2018_crop_73_aug,0.0
760_74_7525_2018_crop_76_aug,7.75
760_74_7525_2018_crop_77_aug,28.75
760_74_7525_2018_crop_84_aug,2.0
760_74_7525_2018_crop_88_aug,6.5
760_74_7525_2018_crop_96_aug,3.25
760_74_7525_2018_crop_99_aug,0.5
760_74_7525_2018_crop_100_aug,9.5
760_74_7525_2018_crop_108_aug,0.25
760_74_7525_2018_crop_111_aug,3.75
760_74_7525_2018_crop_112_aug,29.75
760_74_7525_2018_crop_122_aug,1.75
760_74_7525_2018_crop_123_aug,32.0
760_74_7525_2018_crop_124_aug,7.25
760_74_7525_2018_crop_132_aug,2.25
760_74_7525_2018_crop_133_aug,1.0
760_74_7525_2018_crop_134_aug,4.0
760_74_7525_2018_crop_135_aug,15.75
762_73_5025_2018_crop_59,17.75
762_73_5025_2018_crop_71,4.5
762_73_5025_2018_crop_142,0.25
762_73_5025_2018_negcrop_0,0.0
762_73_5025_2018_negcrop_1,0.0
762_73_5025_2018_negcrop_2,0.0
762_73_5025_2018_crop_59_aug,17.75
762_73_5025_2018_crop_71_aug,4.5
762_73_5025_2018_crop_142_aug,0.25
750_65_7575_2015_crop_0,0.75
750_65_7575_2015_crop_1,1.25
750_65_7575_2015_crop_12,11.0
750_65_7575_2015_crop_13,1.75
750_65_7575_2015_crop_24,5.75
750_65_7575_2015_crop_25,0.25
750_65_7575_2015_crop_36,3.0
750_65_7575_2015_crop_43,5.25
750_65_7575_2015_crop_55,5.25
750_65_7575_2015_crop_64,0.75
750_65_7575_2015_crop_65,0.75
750_65_7575_2015_crop_67,0.5
750_65_7575_2015_crop_73,10.5
750_65_7575_2015_crop_75,19.0
750_65_7575_2015_crop_76,10.75
750_65_7575_2015_crop_77,4.0
750_65_7575_2015_crop_78,5.25
750_65_7575_2015_crop_79,30.5
750_65_7575_2015_crop_81,1.0
750_65_7575_2015_crop_82,0.75
750_65_7575_2015_crop_83,12.75
750_65_7575_2015_crop_84,3.5
750_65_7575_2015_crop_85,22.5
750_65_7575_2015_crop_87,4.75
750_65_7575_2015_crop_88,19.0
750_65_7575_2015_crop_89,57.75
750_65_7575_2015_crop_90,8.5
750_65_7575_2015_crop_92,2.0
750_65_7575_2015_crop_93,36.0
750_65_7575_2015_crop_94,12.0
750_65_7575_2015_crop_95,5.0
750_65_7575_2015_crop_101,13.25
750_65_7575_2015_crop_104,2.25
750_65_7575_2015_crop_105,11.5
750_65_7575_2015_crop_109,7.0
750_65_7575_2015_crop_110,3.25
750_65_7575_2015_crop_115,5.0
750_65_7575_2015_crop_116,18.75
750_65_7575_2015_crop_120,6.25
750_65_7575_2015_crop_121,8.0
750_65_7575_2015_crop_122,2.25
750_65_7575_2015_crop_128,2.5
750_65_7575_2015_crop_132,11.75
750_65_7575_2015_crop_133,4.0
750_65_7575_2015_negcrop_0,0.0
750_65_7575_2015_negcrop_1,0.0
750_65_7575_2015_negcrop_2,0.0
750_65_7575_2015_negcrop_3,0.0
750_65_7575_2015_negcrop_4,0.0
750_65_7575_2015_negcrop_5,0.0
750_65_7575_2015_negcrop_6,0.0
750_65_7575_2015_negcrop_7,0.0
750_65_7575_2015_negcrop_8,0.0
750_65_7575_2015_negcrop_9,0.0
750_65_7575_2015_negcrop_10,0.0
750_65_7575_2015_negcrop_11,0.0
750_65_7575_2015_negcrop_12,0.0
750_65_7575_2015_negcrop_13,0.0
750_65_7575_2015_negcrop_14,0.0
750_65_7575_2015_negcrop_15,0.0
750_65_7575_2015_negcrop_16,0.0
750_65_7575_2015_negcrop_17,0.0
750_65_7575_2015_negcrop_18,0.0
750_65_7575_2015_negcrop_19,0.0
750_65_7575_2015_negcrop_20,0.0
750_65_7575_2015_negcrop_21,0.0
750_65_7575_2015_negcrop_22,0.0
750_65_7575_2015_negcrop_23,0.0
750_65_7575_2015_negcrop_24,0.0
750_65_7575_2015_negcrop_25,0.0
750_65_7575_2015_negcrop_26,0.0
750_65_7575_2015_negcrop_27,0.0
750_65_7575_2015_negcrop_28,0.0
750_65_7575_2015_negcrop_29,0.0
750_65_7575_2015_negcrop_30,0.0
750_65_7575_2015_negcrop_31,0.0
750_65_7575_2015_negcrop_32,0.0
750_65_7575_2015_negcrop_33,0.0
750_65_7575_2015_negcrop_34,0.0
750_65_7575_2015_negcrop_35,0.0
750_65_7575_2015_negcrop_36,0.0
750_65_7575_2015_negcrop_37,0.0
750_65_7575_2015_negcrop_38,0.0
750_65_7575_2015_negcrop_39,0.0
750_65_7575_2015_negcrop_40,0.0
750_65_7575_2015_negcrop_41,0.0
750_65_7575_2015_negcrop_42,0.0
750_65_7575_2015_negcrop_43,0.0
750_65_7575_2015_crop_0_aug,0.75
750_65_7575_2015_crop_1_aug,1.25
750_65_7575_2015_crop_12_aug,11.0
750_65_7575_2015_crop_13_aug,1.75
750_65_7575_2015_crop_24_aug,5.75
750_65_7575_2015_crop_25_aug,0.25
750_65_7575_2015_crop_36_aug,3.0
750_65_7575_2015_crop_43_aug,5.25
750_65_7575_2015_crop_55_aug,5.25
750_65_7575_2015_crop_64_aug,0.75
750_65_7575_2015_crop_65_aug,0.75
750_65_7575_2015_crop_67_aug,0.5
750_65_7575_2015_crop_73_aug,10.5
750_65_7575_2015_crop_75_aug,19.0
750_65_7575_2015_crop_76_aug,10.75
750_65_7575_2015_crop_77_aug,4.0
750_65_7575_2015_crop_78_aug,5.25
750_65_7575_2015_crop_79_aug,30.5
750_65_7575_2015_crop_81_aug,1.0
750_65_7575_2015_crop_82_aug,0.75
750_65_7575_2015_crop_83_aug,12.75
750_65_7575_2015_crop_84_aug,3.5
750_65_7575_2015_crop_85_aug,22.5
750_65_7575_2015_crop_87_aug,4.75
750_65_7575_2015_crop_88_aug,19.0
750_65_7575_2015_crop_89_aug,57.75
750_65_7575_2015_crop_90_aug,8.5
750_65_7575_2015_crop_92_aug,2.0
750_65_7575_2015_crop_93_aug,36.0
750_65_7575_2015_crop_94_aug,12.0
750_65_7575_2015_crop_95_aug,5.0
750_65_7575_2015_crop_101_aug,13.25
750_65_7575_2015_crop_104_aug,2.25
750_65_7575_2015_crop_105_aug,11.5
750_65_7575_2015_crop_109_aug,7.0
750_65_7575_2015_crop_110_aug,3.25
750_65_7575_2015_crop_115_aug,5.0
750_65_7575_2015_crop_116_aug,18.75
750_65_7575_2015_crop_120_aug,6.25
750_65_7575_2015_crop_121_aug,8.0
750_65_7575_2015_crop_122_aug,2.25
750_65_7575_2015_crop_128_aug,2.5
750_65_7575_2015_crop_132_aug,11.75
750_65_7575_2015_crop_133_aug,4.0
760_75_2525_2015_crop_72,0.0
760_75_2525_2015_crop_85,0.0
760_75_2525_2015_negcrop_0,0.0
760_75_2525_2015_negcrop_1,0.0
760_75_2525_2015_crop_72_aug,0.0
760_75_2525_2015_crop_85_aug,0.0
756_69_5025_2014_crop_27,6.0
756_69_5025_2014_crop_28,1.25
756_69_5025_2014_crop_35,3.75
756_69_5025_2014_crop_37,2.5
756_69_5025_2014_crop_38,6.0
756_69_5025_2014_crop_39,6.75
756_69_5025_2014_crop_40,0.5
756_69_5025_2014_crop_47,1.75
756_69_5025_2014_crop_49,1.75
756_69_5025_2014_crop_50,2.75
756_69_5025_2014_crop_92,2.5
756_69_5025_2014_crop_93,0.5
756_69_5025_2014_crop_103,0.25
756_69_5025_2014_crop_104,2.75
756_69_5025_2014_crop_115,1.25
756_69_5025_2014_crop_116,0.25
756_69_5025_2014_crop_123,3.25
756_69_5025_2014_crop_126,2.25
756_69_5025_2014_crop_127,5.25
756_69_5025_2014_crop_135,0.5
756_69_5025_2014_negcrop_0,0.0
756_69_5025_2014_negcrop_1,0.0
756_69_5025_2014_negcrop_2,0.0
756_69_5025_2014_negcrop_3,0.0
756_69_5025_2014_negcrop_4,0.0
756_69_5025_2014_negcrop_5,0.0
756_69_5025_2014_negcrop_6,0.0
756_69_5025_2014_negcrop_7,0.0
756_69_5025_2014_negcrop_8,0.0
756_69_5025_2014_negcrop_9,0.0
756_69_5025_2014_negcrop_10,0.0
756_69_5025_2014_negcrop_11,0.0
756_69_5025_2014_negcrop_12,0.0
756_69_5025_2014_negcrop_13,0.0
756_69_5025_2014_negcrop_14,0.0
756_69_5025_2014_negcrop_15,0.0
756_69_5025_2014_negcrop_16,0.0
756_69_5025_2014_negcrop_17,0.0
756_69_5025_2014_negcrop_18,0.0
756_69_5025_2014_negcrop_19,0.0
756_69_5025_2014_crop_27_aug,6.0
756_69_5025_2014_crop_28_aug,1.25
756_69_5025_2014_crop_35_aug,3.75
756_69_5025_2014_crop_37_aug,2.5
756_69_5025_2014_crop_38_aug,6.0
756_69_5025_2014_crop_39_aug,6.75
756_69_5025_2014_crop_40_aug,0.5
756_69_5025_2014_crop_47_aug,1.75
756_69_5025_2014_crop_49_aug,1.75
756_69_5025_2014_crop_50_aug,2.75
756_69_5025_2014_crop_92_aug,2.5
756_69_5025_2014_crop_93_aug,0.5
756_69_5025_2014_crop_103_aug,0.25
756_69_5025_2014_crop_104_aug,2.75
756_69_5025_2014_crop_115_aug,1.25
756_69_5025_2014_crop_116_aug,0.25
756_69_5025_2014_crop_123_aug,3.25
756_69_5025_2014_crop_126_aug,2.25
756_69_5025_2014_crop_127_aug,5.25
756_69_5025_2014_crop_135_aug,0.5
750_66_7500_2015_crop_43,4.25
750_66_7500_2015_crop_44,5.25
750_66_7500_2015_crop_55,1.0
750_66_7500_2015_negcrop_0,0.0
750_66_7500_2015_negcrop_1,0.0
750_66_7500_2015_negcrop_2,0.0
750_66_7500_2015_crop_43_aug,4.25
750_66_7500_2015_crop_44_aug,5.25
750_66_7500_2015_crop_55_aug,1.0
753_67_2550_2014_crop_36,1.25
753_67_2550_2014_crop_42,3.0
753_67_2550_2014_crop_50,2.75
753_67_2550_2014_crop_51,41.5
753_67_2550_2014_crop_52,4.5
753_67_2550_2014_crop_53,9.0
753_67_2550_2014_crop_54,11.0
753_67_2550_2014_crop_55,0.0
753_67_2550_2014_crop_60,7.25
753_67_2550_2014_crop_61,13.5
753_67_2550_2014_crop_62,23.75
753_67_2550_2014_crop_63,64.75
753_67_2550_2014_crop_64,62.5
753_67_2550_2014_crop_65,32.5
753_67_2550_2014_crop_66,1.0
753_67_2550_2014_crop_73,4.0
753_67_2550_2014_crop_74,41.0
753_67_2550_2014_crop_75,32.75
753_67_2550_2014_crop_76,28.0
753_67_2550_2014_crop_77,1.75
753_67_2550_2014_crop_85,0.25
753_67_2550_2014_crop_86,22.75
753_67_2550_2014_crop_87,25.75
753_67_2550_2014_crop_88,0.0
753_67_2550_2014_crop_98,3.25
753_67_2550_2014_crop_100,2.0
753_67_2550_2014_crop_111,1.0
753_67_2550_2014_crop_112,0.75
753_67_2550_2014_negcrop_0,0.0
753_67_2550_2014_negcrop_1,0.0
753_67_2550_2014_negcrop_2,0.0
753_67_2550_2014_negcrop_3,0.0
753_67_2550_2014_negcrop_4,0.0
753_67_2550_2014_negcrop_5,0.0
753_67_2550_2014_negcrop_6,0.0
753_67_2550_2014_negcrop_7,0.0
753_67_2550_2014_negcrop_8,0.0
753_67_2550_2014_negcrop_9,0.0
753_67_2550_2014_negcrop_10,0.0
753_67_2550_2014_negcrop_11,0.0
753_67_2550_2014_negcrop_12,0.0
753_67_2550_2014_negcrop_13,0.0
753_67_2550_2014_negcrop_14,0.0
753_67_2550_2014_negcrop_15,0.0
753_67_2550_2014_negcrop_16,0.0
753_67_2550_2014_negcrop_17,0.0
753_67_2550_2014_negcrop_18,0.0
753_67_2550_2014_negcrop_19,0.0
753_67_2550_2014_negcrop_20,0.0
753_67_2550_2014_negcrop_21,0.0
753_67_2550_2014_negcrop_22,0.0
753_67_2550_2014_negcrop_23,0.0
753_67_2550_2014_negcrop_24,0.0
753_67_2550_2014_negcrop_25,0.0
753_67_2550_2014_negcrop_26,0.0
753_67_2550_2014_negcrop_27,0.0
753_67_2550_2014_crop_36_aug,1.25
753_67_2550_2014_crop_42_aug,3.0
753_67_2550_2014_crop_50_aug,2.75
753_67_2550_2014_crop_51_aug,41.5
753_67_2550_2014_crop_52_aug,4.5
753_67_2550_2014_crop_53_aug,9.0
753_67_2550_2014_crop_54_aug,11.0
753_67_2550_2014_crop_55_aug,0.0
753_67_2550_2014_crop_60_aug,7.25
753_67_2550_2014_crop_61_aug,13.5
753_67_2550_2014_crop_62_aug,23.75
753_67_2550_2014_crop_63_aug,64.75
753_67_2550_2014_crop_64_aug,62.5
753_67_2550_2014_crop_65_aug,32.5
753_67_2550_2014_crop_66_aug,1.0
753_67_2550_2014_crop_73_aug,4.0
753_67_2550_2014_crop_74_aug,41.0
753_67_2550_2014_crop_75_aug,32.75
753_67_2550_2014_crop_76_aug,28.0
753_67_2550_2014_crop_77_aug,1.75
753_67_2550_2014_crop_85_aug,0.25
753_67_2550_2014_crop_86_aug,22.75
753_67_2550_2014_crop_87_aug,25.75
753_67_2550_2014_crop_88_aug,0.0
753_67_2550_2014_crop_98_aug,3.25
753_67_2550_2014_crop_100_aug,2.0
753_67_2550_2014_crop_111_aug,1.0
753_67_2550_2014_crop_112_aug,0.75
758_66_5075_2010_crop_132,2.5
758_66_5075_2010_crop_133,4.5
758_66_5075_2010_negcrop_0,0.0
758_66_5075_2010_negcrop_1,0.0
758_66_5075_2010_crop_132_aug,2.5
758_66_5075_2010_crop_133_aug,4.5
763_73_7575_2018_crop_8,6.5
763_73_7575_2018_crop_19,1.0
763_73_7575_2018_crop_83,5.25
763_73_7575_2018_crop_95,1.0
763_73_7575_2018_negcrop_0,0.0
763_73_7575_2018_negcrop_1,0.0
763_73_7575_2018_negcrop_2,0.0
763_73_7575_2018_negcrop_3,0.0
763_73_7575_2018_crop_8_aug,6.5
763_73_7575_2018_crop_19_aug,1.0
763_73_7575_2018_crop_83_aug,5.25
763_73_7575_2018_crop_95_aug,1.0
758_68_7575_2014_crop_95,4.75
758_68_7575_2014_crop_105,0.0
758_68_7575_2014_crop_106,4.5
758_68_7575_2014_crop_107,29.0
758_68_7575_2014_crop_115,11.5
758_68_7575_2014_crop_116,36.75
758_68_7575_2014_crop_117,27.75
758_68_7575_2014_crop_118,36.0
758_68_7575_2014_crop_119,32.5
758_68_7575_2014_crop_122,3.25
758_68_7575_2014_crop_127,32.75
758_68_7575_2014_crop_128,23.5
758_68_7575_2014_crop_129,27.0
758_68_7575_2014_crop_130,8.0
758_68_7575_2014_crop_131,22.5
758_68_7575_2014_crop_134,3.5
758_68_7575_2014_crop_135,1.5
758_68_7575_2014_crop_136,16.0
758_68_7575_2014_crop_137,40.25
758_68_7575_2014_crop_138,23.75
758_68_7575_2014_crop_139,28.5
758_68_7575_2014_crop_140,16.25
758_68_7575_2014_crop_141,42.5
758_68_7575_2014_crop_142,37.5
758_68_7575_2014_crop_143,36.75
758_68_7575_2014_negcrop_0,0.0
758_68_7575_2014_negcrop_1,0.0
758_68_7575_2014_negcrop_2,0.0
758_68_7575_2014_negcrop_3,0.0
758_68_7575_2014_negcrop_4,0.0
758_68_7575_2014_negcrop_5,0.0
758_68_7575_2014_negcrop_6,0.0
758_68_7575_2014_negcrop_7,0.0
758_68_7575_2014_negcrop_8,0.0
758_68_7575_2014_negcrop_9,0.0
758_68_7575_2014_negcrop_10,0.0
758_68_7575_2014_negcrop_11,0.0
758_68_7575_2014_negcrop_12,0.0
758_68_7575_2014_negcrop_13,0.0
758_68_7575_2014_negcrop_14,0.0
758_68_7575_2014_negcrop_15,0.0
758_68_7575_2014_negcrop_16,0.0
758_68_7575_2014_negcrop_17,0.0
758_68_7575_2014_negcrop_18,0.0
758_68_7575_2014_negcrop_19,0.0
758_68_7575_2014_negcrop_20,0.0
758_68_7575_2014_negcrop_21,0.0
758_68_7575_2014_negcrop_22,0.0
758_68_7575_2014_negcrop_23,0.0
758_68_7575_2014_negcrop_24,0.0
758_68_7575_2014_crop_95_aug,4.75
758_68_7575_2014_crop_105_aug,0.0
758_68_7575_2014_crop_106_aug,4.5
758_68_7575_2014_crop_107_aug,29.0
758_68_7575_2014_crop_115_aug,11.5
758_68_7575_2014_crop_116_aug,36.75
758_68_7575_2014_crop_117_aug,27.75
758_68_7575_2014_crop_118_aug,36.0
758_68_7575_2014_crop_119_aug,32.5
758_68_7575_2014_crop_122_aug,3.25
758_68_7575_2014_crop_127_aug,32.75
758_68_7575_2014_crop_128_aug,23.5
758_68_7575_2014_crop_129_aug,27.0
758_68_7575_2014_crop_130_aug,8.0
758_68_7575_2014_crop_131_aug,22.5
758_68_7575_2014_crop_134_aug,3.5
758_68_7575_2014_crop_135_aug,1.5
758_68_7575_2014_crop_136_aug,16.0
758_68_7575_2014_crop_137_aug,40.25
758_68_7575_2014_crop_138_aug,23.75
758_68_7575_2014_crop_139_aug,28.5
758_68_7575_2014_crop_140_aug,16.25
758_68_7575_2014_crop_141_aug,42.5
758_68_7575_2014_crop_142_aug,37.5
758_68_7575_2014_crop_143_aug,36.75
761_78_5025_2013_crop_92,0.5
761_78_5025_2013_crop_104,16.5
761_78_5025_2013_crop_105,4.5
761_78_5025_2013_crop_116,3.75
761_78_5025_2013_crop_117,1.25
761_78_5025_2013_negcrop_0,0.0
761_78_5025_2013_negcrop_1,0.0
761_78_5025_2013_negcrop_2,0.0
761_78_5025_2013_negcrop_3,0.0
761_78_5025_2013_negcrop_4,0.0
761_78_5025_2013_crop_92_aug,0.5
761_78_5025_2013_crop_104_aug,16.5
761_78_5025_2013_crop_105_aug,4.5
761_78_5025_2013_crop_116_aug,3.75
761_78_5025_2013_crop_117_aug,1.25
762_74_2500_2018_crop_26,1.75
762_74_2500_2018_crop_62,0.0
762_74_2500_2018_crop_116,1.25
762_74_2500_2018_crop_117,0.0
762_74_2500_2018_crop_128,0.0
762_74_2500_2018_crop_138,1.0
762_74_2500_2018_negcrop_0,0.0
762_74_2500_2018_negcrop_1,0.0
762_74_2500_2018_negcrop_2,0.0
762_74_2500_2018_negcrop_3,0.0
762_74_2500_2018_negcrop_4,0.0
762_74_2500_2018_negcrop_5,0.0
762_74_2500_2018_crop_26_aug,1.75
762_74_2500_2018_crop_62_aug,0.0
762_74_2500_2018_crop_116_aug,1.25
762_74_2500_2018_crop_117_aug,0.0
762_74_2500_2018_crop_128_aug,0.0
762_74_2500_2018_crop_138_aug,1.0
764_73_2550_2018_crop_104,6.75
764_73_2550_2018_crop_116,2.75
764_73_2550_2018_crop_140,2.25
764_73_2550_2018_negcrop_0,0.0
764_73_2550_2018_negcrop_1,0.0
764_73_2550_2018_negcrop_2,0.0
764_73_2550_2018_crop_104_aug,6.75
764_73_2550_2018_crop_116_aug,2.75
764_73_2550_2018_crop_140_aug,2.25
763_72_7550_2018_crop_34,4.0
763_72_7550_2018_crop_58,0.0
763_72_7550_2018_crop_87,0.25
763_72_7550_2018_negcrop_0,0.0
763_72_7550_2018_negcrop_1,0.0
763_72_7550_2018_negcrop_2,0.0
763_72_7550_2018_crop_34_aug,4.0
763_72_7550_2018_crop_58_aug,0.0
763_72_7550_2018_crop_87_aug,0.25
758_72_2500_2013_crop_18,0.0
758_72_2500_2013_crop_19,0.75
758_72_2500_2013_negcrop_0,0.0
758_72_2500_2013_negcrop_1,0.0
758_72_2500_2013_crop_18_aug,0.0
758_72_2500_2013_crop_19_aug,0.75
762_76_5000_2015_crop_45,0.0
762_76_5000_2015_crop_46,0.0
762_76_5000_2015_crop_47,0.25
762_76_5000_2015_crop_58,0.75
762_76_5000_2015_negcrop_0,0.0
762_76_5000_2015_negcrop_1,0.0
762_76_5000_2015_negcrop_2,0.0
762_76_5000_2015_negcrop_3,0.0
762_76_5000_2015_crop_45_aug,0.0
762_76_5000_2015_crop_46_aug,0.0
762_76_5000_2015_crop_47_aug,0.25
762_76_5000_2015_crop_58_aug,0.75
761_73_0000_2018_crop_2,23.75
761_73_0000_2018_crop_3,1.75
761_73_0000_2018_crop_4,1.5
761_73_0000_2018_crop_13,6.25
761_73_0000_2018_crop_14,31.25
761_73_0000_2018_crop_15,9.5
761_73_0000_2018_crop_24,2.5
761_73_0000_2018_crop_26,7.25
761_73_0000_2018_crop_27,10.25
761_73_0000_2018_crop_35,2.75
761_73_0000_2018_crop_36,3.0
761_73_0000_2018_crop_38,1.0
761_73_0000_2018_crop_39,6.5
761_73_0000_2018_crop_40,4.25
761_73_0000_2018_crop_51,7.25
761_73_0000_2018_crop_52,23.25
761_73_0000_2018_crop_53,4.5
761_73_0000_2018_crop_59,8.25
761_73_0000_2018_crop_62,9.25
761_73_0000_2018_crop_63,1.75
761_73_0000_2018_crop_64,11.25
761_73_0000_2018_crop_65,0.0
761_73_0000_2018_crop_66,0.0
761_73_0000_2018_crop_72,7.0
761_73_0000_2018_crop_73,3.25
761_73_0000_2018_crop_74,20.25
761_73_0000_2018_crop_75,8.5
761_73_0000_2018_crop_76,2.75
761_73_0000_2018_crop_77,0.25
761_73_0000_2018_crop_79,0.25
761_73_0000_2018_crop_84,7.5
761_73_0000_2018_crop_87,19.0
761_73_0000_2018_crop_88,4.0
761_73_0000_2018_crop_96,1.75
761_73_0000_2018_crop_99,0.25
761_73_0000_2018_crop_108,1.25
761_73_0000_2018_crop_118,7.5
761_73_0000_2018_crop_119,4.75
761_73_0000_2018_crop_129,19.25
761_73_0000_2018_crop_136,0.0
761_73_0000_2018_crop_137,0.25
761_73_0000_2018_crop_138,1.0
761_73_0000_2018_crop_142,0.5
